objectid,id,hash,matricula,cnm,cns,municipio_cod_ibge,lon,lat
207859,857216,86caaeb435a629da65878dc62eeb61ca6d9e33fcbb73d2bf830d6d0323a33d46,0018140,1591862001814071,159186,4115200,-51.98006439999995,-23.409626299999957
207860,857220,c740aab37975de3acfb35ca2898072d1bea0e46c7a869e7677d8ab081faaef16,0018464,1591862001846469,159186,4115200,-51.965029899999934,-23.422897099999943
207861,857221,1b6d56435600c405675ae84175b33d3d2d251d22535d84ae1d5d9a1a218963b3,0014433,1591862001443337,159186,4115200,-51.935652999999945,-23.424968899999953
207862,857222,5a1c00cd3d216bc4e7b05443e71b48b9dd392c8880a760844e508a329c49ba3a,0018453,1591862001845305,159186,4115200,-51.95718939999995,-23.421152099999972
207863,857223,fa11a82c0fb2c82c892537aa50ef1b5489b7d8f8f4e97c35ec20177f3e2e5cf6,0003591,1591862000359168,159186,4115200,-51.89766139999995,-23.359753299999966
207864,857228,2c2f526058212f8dcc0fd9f9e07dd6d8272fd6ee8606c8274743c26be97e6769,0017173,1591862001717362,159186,4115200,-51.98083129999998,-23.41182679999997
207865,857234,937028c2cf7c067045b4f0bfde50b406714bc30d69ca6d2516373ac16ea63913,0000572,1591862000057207,159186,4115200,-51.978704499999935,-23.444223499999964
207866,857236,de54dc2efe3e4e93d18b598c51dd3cccbc25ca8c87ebc16706543922818ce526,0012545,1591862001254575,159186,4115200,-51.933243499999946,-23.37646499999994
207867,857238,b27781f2269f1584f30972720bd525bbab58053afd017e8469f02ee931cbdbff,0018484,1591862001848409,159186,4115200,-51.965029899999934,-23.422897099999943
207868,857240,d8d1b4120815bf43e359947350254298f4535d1cf547c1236a118c081a339bbc,0012315,1591862001231586,159186,4115200,-51.951824699999975,-23.42065299999996
207869,857241,d0b0b8df31d00c675ef83e3590725d8a62de926b075cbcfcdc8a913f6cfcddee,0018307,1591862001830755,159186,4115200,-51.98257609999996,-23.39986049999993
207870,857245,7885e6c5d81d16f59aa2231c9c1295a3a8aabc6a1a6860a7268b19889d8b2359,0003524,1591862000352475,159186,4115200,-51.978704499999935,-23.444223499999964
